Title,Model,Manufacturer,Price,Rating Score,Ratings
        GAP Men's Everyday Soft Long Sleeve Tee T-Shirt       ,426759,GAP,9.8,4.6,456
        RVCA Men's Graphic Short Sleeve Crew Neck Tee Shirt       ,AVYZT00711-FEB,RVCA,25.0,4.5,776
"        Hanes Originals Crewneck T-Shirt, 100% Cotton Pocket Tees for Men       ",M028R,Hanes,8.11,4.3,92
        Fair Indigo Men's Organic V-Neck T-Shirt       ,04821,Fair Indigo,39.9,2.6,5
        OKTOBERFEST Men's Bavarian Lederhosen Brown - Oktoberfest Leather Trousers       ,non-value,No,127.49,4.3,85
        Hanes Men's 5170       ,HA-5250X-BLACK_Small_black,No,7.81,4.3,5095
"        Fruit of the Loom Recover Cotton T-Shirt Made with Sustainable, Low Impact Recycled Fiber       ",non-value,unknown,9.62,4.5,131
        Goodthreads Men's Slim-Fit Short-Sleeve Cotton Crewneck T-Shirt       ,F16GT45000,Goodthreads,9.74,4.3,9190
        Fruit of the Loom Men's Iconic T-Shirt       ,IC47MR,Fruit of the Loom,8.32,4.3,283
"        Hanes Originals Men's Henley T-Shirt, Long Sleeve Cotton Henley Tees for Men       ",MHP480,Hanes,12.0,4.5,361
        Dickies Men's Short Sleeve Pocket Tee Big-tall       ,WS46A Big-Tall,Dickies,12.59,4.5,11868
        Under Armour Men's Drift Tide 2.0 Short-Sleeve T-Shirt       ,1369306,Under Armour,33.97,4.3,318
        Disney Mickey Mouse Wash Adult T-Shirt       ,DSSC86NMSC3P1XX,"Mad Engine, Inc.",13.63,4.6,3330
        Under Armour Men's HeatGear Compression Short-Sleeve T-Shirt       ,1361518,Under Armour Apparel,22.76,4.6,6982
        Dickies Men's Heavyweight Crew Neck Short Sleeve Tee       ,WS450,Dickies,19.99,4.5,40699
"        Champion Men's Lightweight T-Shirt, 100% Cotton Tee Shirt for Men, Lightweight Tee, Multiple Graphics       ",GT353,Champion,16.21,4.2,167
"        Amazon Essentials Men's Performance Tech Muscle Tank T-Shirt, Pack of 2       ",14407,Amazon Essentials,16.46,4.4,5162
        Hurley Men's One and Only Logo T-Shirt       ,892204,No,19.84,4.6,2689
        IZOD Men's Saltwater Soft Wash Pocket Crew T-Shirt       ,4645BK012-001,IZOD,16.4,4.6,2565
"        Gildan Adult Heavy Cotton 3/4 Raglan T-Shirt, Style G5700, 2-Pack       ",G5700,Gildan,17.56,4.4,1104
        Hanes Men's Perfect-T Short Sleeve Triblend T-shirt (2-pack)       ,O42TB2,Hanes Branded Printwear,13.99,4.4,1460
        Costa Del Mar Unisex-Adult Fury Blend Short Sleeve Crewneck       ,FQA400052,Costa Del Mar,21.59,4.6,125
        Nautica Men's Short Sleeve Logo Series Graphic Tee       ,V91801,Nautica,16.1,4.6,1046
